Num,LCC,GE,Score,Measure,Strategy
19,145,0.027768907,0.429876402,Eigenvector,Sequential 
20,145,0.025594182,0.510508894,Eigenvector,Sequential 
21,95,0.020439826,0.454891333,Eigenvector,Sequential 
22,86,0.018149406,0.518879453,Eigenvector,Sequential 
23,82,0.017885469,0.556569048,Eigenvector,Sequential 
24,82,0.01722198,0.492291901,Eigenvector,Sequential 
25,82,0.016681029,0.564340962,Eigenvector,Sequential 
26,82,0.015606995,0.547586137,Eigenvector,Sequential 
27,82,0.015254556,0.58735718,Eigenvector,Sequential 
28,43,0.013447301,0.387708063,Eigenvector,Sequential 
29,30,0.012643941,0.409067212,Eigenvector,Sequential 
30,30,0.012151544,0.423128063,Eigenvector,Sequential 
