cnt,Scenario 
-0.902934537,Scenario B (Beta = 1.76)
41.80225282,Scenario B (Beta = 1.76)
49.00332226,Scenario B (Beta = 1.76)
37.55555556,Scenario B (Beta = 1.76)
33.4375,Scenario B (Beta = 1.76)
18.55895197,Scenario B (Beta = 1.76)
2.077922078,Scenario B (Beta = 1.76)
29.57198444,Scenario B (Beta = 1.76)
72.31726283,Scenario B (Beta = 1.76)
16.16405308,Scenario B (Beta = 1.76)
22.34432234,Scenario B (Beta = 1.76)
63.95450569,Scenario B (Beta = 1.76)
55.76923077,Scenario B (Beta = 1.76)
10.16483516,Scenario B (Beta = 1.76)
1.53256705,Scenario B (Beta = 1.76)
19.66942149,Scenario B (Beta = 1.76)
-14.1509434,Scenario B (Beta = 1.76)
47.87472036,Scenario B (Beta = 1.76)
26.52849741,Scenario B (Beta = 1.76)
22.59953162,Scenario B (Beta = 1.76)
37.82771536,Scenario B (Beta = 1.76)
72.72727273,Scenario B (Beta = 1.76)
3.827751196,Scenario B (Beta = 1.76)
18.26923077,Scenario B (Beta = 1.76)
35.59977888,Scenario B (Beta = 1.76)
51.12716763,Scenario B (Beta = 1.76)
19.10828025,Scenario B (Beta = 1.76)
104.2979943,Scenario B (Beta = 1.76)
22.22222222,Scenario B (Beta = 1.76)
4.47761194,Scenario B (Beta = 1.76)
19.3258427,Scenario B (Beta = 1.76)
51.4940239,Scenario B (Beta = 1.76)
48.30769231,Scenario B (Beta = 1.76)
86.50627615,Scenario B (Beta = 1.76)
60.8040201,Scenario B (Beta = 1.76)
77.14285714,Scenario B (Beta = 1.76)
63.00813008,Scenario B (Beta = 1.76)
26.51550208,Scenario B (Beta = 1.76)
47.16981132,Scenario B (Beta = 1.76)
62.35294118,Scenario B (Beta = 1.76)
-6.534090909,Scenario B (Beta = 1.76)
32.36514523,Scenario B (Beta = 1.76)
18.5520362,Scenario B (Beta = 1.76)
13.36206897,Scenario B (Beta = 1.76)
112.6836092,Scenario B (Beta = 1.76)
13.78640777,Scenario B (Beta = 1.76)
72.42339833,Scenario B (Beta = 1.76)
37.19512195,Scenario B (Beta = 1.76)
66.66666667,Scenario B (Beta = 1.76)
26.65036675,Scenario B (Beta = 1.76)
51.21412804,Scenario B (Beta = 1.76)
89.31506849,Scenario B (Beta = 1.76)
